Date,Close/Last,Volume,Open,High,Low
07/29/2016,$111.6,756521,$112.42,$112.79,$110.88
07/28/2016,$110.76,600033,$111.22,$111.32,$109.9
07/27/2016,$110.57,384790,$111.41,$111.46,$110.07
07/26/2016,$109.6,198180,$109.24,$109.77,$109.1751
07/25/2016,$109.68,204673,$109.9,$110.14,$109.62
07/22/2016,$109.68,206064,$109.62,$109.88,$109.5
07/21/2016,$108.86,292852,$109.16,$109.48,$108.67
07/20/2016,$109.3,192901,$108.9,$109.4,$108.72
07/19/2016,$108.56,220506,$108.68,$108.7,$108.13
07/18/2016,$109.01,233866,$108.68,$109.18,$108.545
07/15/2016,$108.82,351346,$108.94,$109.14,$108.54
07/14/2016,$107.98,291593,$108.39,$108.41,$107.818
07/13/2016,$107.86,537172,$108.1,$108.49,$107.26
07/12/2016,$106.54,456709,$106.75,$107.28,$106.51
07/11/2016,$105.66,675408,$104.92,$105.88,$104.8401
07/08/2016,$102.07,372362,$101.21,$102.1625,$101.08
07/07/2016,$100.59,423267,$100.47,$100.84,$100.05
07/06/2016,$99.78,423931,$99.36,$99.85,$98.48
07/05/2016,$99.18,500719,$99.63,$99.68,$98.9
07/01/2016,$99.64,515089,$99.58,$100.21,$99.366
06/30/2016,$99.99,1267227,$99.86,$99.99,$98.81
06/29/2016,$101.52,484071,$100.61,$101.81,$100.46
06/28/2016,$99.85,966720,$98.96,$99.94,$98.39
06/27/2016,$100.26,694975,$101.18,$101.18,$99.3
06/24/2016,$103.96,783678,$104.13,$105.18,$103.05
06/23/2016,$109.95,576948,$109.68,$110,$109.13
06/22/2016,$106.5,881176,$107.01,$107.55,$106.42
06/21/2016,$107.12,568139,$107.3,$107.66,$107
06/20/2016,$105.8,565824,$106.71,$107.05,$105.63
06/17/2016,$103.24,395135,$103.26,$103.56,$102.48
06/16/2016,$101.99,305896,$101.01,$102.12,$100.58
06/15/2016,$102.48,415151,$102.64,$103.24,$102.27
06/14/2016,$101.08,375818,$101.17,$101.55,$100.23
06/13/2016,$101.69,310023,$102.26,$102.6989,$101.49
06/10/2016,$103.2,316670,$103.65,$103.76,$102.75
06/09/2016,$104.5,283322,$104.5,$104.71,$104.1496
06/08/2016,$105.65,217898,$105.56,$105.8,$105.29
06/07/2016,$105.49,348353,$105.62,$105.8,$105.41
06/06/2016,$105.54,559810,$105.62,$105.84,$105.1
06/03/2016,$103.5,449850,$103.69,$104.07,$102.77
06/02/2016,$103.82,301032,$103.4,$103.99,$103.21
06/01/2016,$103.33,534935,$104.24,$104.28,$102.8221
05/31/2016,$103.41,671503,$103.35,$103.9758,$102.63
05/27/2016,$100.59,417571,$101.8,$101.87,$100.23
05/26/2016,$102.27,370995,$102.39,$102.75,$102.07
05/25/2016,$102.62,771964,$101.65,$102.76,$101.44
05/24/2016,$100.64,852543,$99.93,$101.11,$99.4
05/23/2016,$99.55,447887,$100.32,$100.32,$99.46
05/20/2016,$100.61,340823,$100.63,$101.08,$100.4
05/19/2016,$99.61,402595,$99.57,$99.87,$99.23
05/18/2016,$101.53,374370,$100.6,$102.09,$100.53
05/17/2016,$100.61,306061,$101.01,$101.36,$100.5
05/16/2016,$100.82,322216,$100.17,$101.12,$100.12
05/13/2016,$99.79,371551,$100.24,$100.84,$99.69
05/12/2016,$101.38,1043198,$101.99,$101.99,$100.66
05/11/2016,$98.44,1240687,$101.32,$101.73,$98.02
05/10/2016,$104.82,483735,$104.15,$104.82,$103.95
05/09/2016,$102.61,360164,$103.46,$103.64,$102.33
05/06/2016,$101.96,283072,$101.58,$102.0799,$101.2
05/05/2016,$101.27,377238,$101.26,$101.4499,$100.665
05/04/2016,$100.62,350469,$101.68,$101.68,$100.589
05/03/2016,$101.45,315576,$101.67,$101.92,$100.6
05/02/2016,$102.47,336947,$102.52,$102.7325,$101.9601
04/29/2016,$101.7,496682,$102.69,$102.76,$101.42
04/28/2016,$102.96,739318,$103.62,$104.66,$102.81
04/27/2016,$106.37,271071,$105.75,$106.64,$105.51
04/26/2016,$107.32,252464,$107.35,$107.43,$106.76
04/25/2016,$107.34,307047,$107.52,$107.91,$106.7
